Kategorie: Alle Kategorien

Woche,depression: (New York)
2020-01-05,68
2020-01-12,58
2020-01-19,54
2020-01-26,64
2020-02-02,66
2020-02-09,66
2020-02-16,60
2020-02-23,88
2020-03-01,91
2020-03-08,81
2020-03-15,100
2020-03-22,91
2020-03-29,98
2020-04-05,92
2020-04-12,83
2020-04-19,89
2020-04-26,97
2020-05-03,87
2020-05-10,85
2020-05-17,75
2020-05-24,62
2020-05-31,57
2020-06-07,73
2020-06-14,67
2020-06-21,47
2020-06-28,56
2020-07-05,58
2020-07-12,50
2020-07-19,49
2020-07-26,53
2020-08-02,53
2020-08-09,59
2020-08-16,54
2020-08-23,58
2020-08-30,61
2020-09-06,64
2020-09-13,58
2020-09-20,57
2020-09-27,56
2020-10-04,61
2020-10-11,66
2020-10-18,63
2020-10-25,77
2020-11-01,57
2020-11-08,55
2020-11-15,78
2020-11-22,51
2020-11-29,72
2020-12-06,61
2020-12-13,57
2020-12-20,54
2020-12-27,54
