Kategorie: Alle Kategorien

Woche,depression: (North Carolina)
2020-01-05,73
2020-01-12,67
2020-01-19,65
2020-01-26,63
2020-02-02,59
2020-02-09,89
2020-02-16,86
2020-02-23,95
2020-03-01,100
2020-03-08,80
2020-03-15,81
2020-03-22,88
2020-03-29,97
2020-04-05,89
2020-04-12,86
2020-04-19,77
2020-04-26,87
2020-05-03,86
2020-05-10,81
2020-05-17,81
2020-05-24,67
2020-05-31,75
2020-06-07,66
2020-06-14,63
2020-06-21,67
2020-06-28,57
2020-07-05,61
2020-07-12,62
2020-07-19,70
2020-07-26,60
2020-08-02,64
2020-08-09,75
2020-08-16,80
2020-08-23,72
2020-08-30,68
2020-09-06,65
2020-09-13,86
2020-09-20,73
2020-09-27,74
2020-10-04,69
2020-10-11,81
2020-10-18,78
2020-10-25,73
2020-11-01,69
2020-11-08,58
2020-11-15,72
2020-11-22,56
2020-11-29,60
2020-12-06,89
2020-12-13,64
2020-12-20,53
2020-12-27,52
