Kategorie: Alle Kategorien

Woche,depression: (Norddakota)
2020-01-05,45
2020-01-12,42
2020-01-19,53
2020-01-26,78
2020-02-02,43
2020-02-09,52
2020-02-16,60
2020-02-23,33
2020-03-01,41
2020-03-08,41
2020-03-15,25
2020-03-22,39
2020-03-29,22
2020-04-05,30
2020-04-12,43
2020-04-19,66
2020-04-26,38
2020-05-03,60
2020-05-10,47
2020-05-17,34
2020-05-24,44
2020-05-31,17
2020-06-07,59
2020-06-14,18
2020-06-21,36
2020-06-28,57
2020-07-05,28
2020-07-12,46
2020-07-19,37
2020-07-26,38
2020-08-02,19
2020-08-09,65
2020-08-16,45
2020-08-23,26
2020-08-30,34
2020-09-06,34
2020-09-13,81
2020-09-20,59
2020-09-27,52
2020-10-04,26
2020-10-11,18
2020-10-18,18
2020-10-25,100
2020-11-01,23
2020-11-08,63
2020-11-15,36
2020-11-22,19
2020-11-29,70
2020-12-06,18
2020-12-13,72
2020-12-20,31
2020-12-27,100
