Kategorie: Alle Kategorien

Woche,depression: (Ohio)
2020-01-05,85
2020-01-12,95
2020-01-19,86
2020-01-26,96
2020-02-02,79
2020-02-09,100
2020-02-16,99
2020-02-23,93
2020-03-01,97
2020-03-08,92
2020-03-15,98
2020-03-22,82
2020-03-29,82
2020-04-05,88
2020-04-12,87
2020-04-19,87
2020-04-26,90
2020-05-03,87
2020-05-10,88
2020-05-17,71
2020-05-24,65
2020-05-31,60
2020-06-07,52
2020-06-14,64
2020-06-21,66
2020-06-28,58
2020-07-05,59
2020-07-12,72
2020-07-19,64
2020-07-26,53
2020-08-02,63
2020-08-09,72
2020-08-16,73
2020-08-23,53
2020-08-30,62
2020-09-06,85
2020-09-13,76
2020-09-20,63
2020-09-27,64
2020-10-04,77
2020-10-11,82
2020-10-18,67
2020-10-25,84
2020-11-01,51
2020-11-08,83
2020-11-15,63
2020-11-22,73
2020-11-29,81
2020-12-06,74
2020-12-13,69
2020-12-20,63
2020-12-27,50
