Kategorie: Alle Kategorien

Woche,depression: (Oklahoma)
2020-01-05,81
2020-01-12,75
2020-01-19,96
2020-01-26,100
2020-02-02,81
2020-02-09,72
2020-02-16,90
2020-02-23,100
2020-03-01,71
2020-03-08,93
2020-03-15,75
2020-03-22,87
2020-03-29,67
2020-04-05,86
2020-04-12,75
2020-04-19,81
2020-04-26,91
2020-05-03,66
2020-05-10,66
2020-05-17,61
2020-05-24,37
2020-05-31,50
2020-06-07,49
2020-06-14,67
2020-06-21,47
2020-06-28,64
2020-07-05,68
2020-07-12,73
2020-07-19,64
2020-07-26,91
2020-08-02,48
2020-08-09,72
2020-08-16,49
2020-08-23,64
2020-08-30,74
2020-09-06,83
2020-09-13,52
2020-09-20,85
2020-09-27,56
2020-10-04,77
2020-10-11,70
2020-10-18,74
2020-10-25,47
2020-11-01,67
2020-11-08,68
2020-11-15,51
2020-11-22,46
2020-11-29,63
2020-12-06,97
2020-12-13,33
2020-12-20,39
2020-12-27,51
