Kategorie: Alle Kategorien

Woche,depression: (Oregon)
2020-01-05,85
2020-01-12,59
2020-01-19,93
2020-01-26,72
2020-02-02,71
2020-02-09,81
2020-02-16,74
2020-02-23,78
2020-03-01,100
2020-03-08,74
2020-03-15,83
2020-03-22,41
2020-03-29,86
2020-04-05,95
2020-04-12,84
2020-04-19,85
2020-04-26,94
2020-05-03,84
2020-05-10,77
2020-05-17,70
2020-05-24,64
2020-05-31,78
2020-06-07,67
2020-06-14,57
2020-06-21,62
2020-06-28,60
2020-07-05,89
2020-07-12,81
2020-07-19,61
2020-07-26,69
2020-08-02,47
2020-08-09,74
2020-08-16,70
2020-08-23,84
2020-08-30,64
2020-09-06,68
2020-09-13,79
2020-09-20,85
2020-09-27,78
2020-10-04,69
2020-10-11,74
2020-10-18,75
2020-10-25,77
2020-11-01,64
2020-11-08,78
2020-11-15,89
2020-11-22,67
2020-11-29,70
2020-12-06,89
2020-12-13,45
2020-12-20,59
2020-12-27,78
