Kategorie: Alle Kategorien

Woche,depression: (Pennsylvania)
2020-01-05,67
2020-01-12,83
2020-01-19,77
2020-01-26,95
2020-02-02,83
2020-02-09,89
2020-02-16,99
2020-02-23,89
2020-03-01,89
2020-03-08,87
2020-03-15,100
2020-03-22,68
2020-03-29,77
2020-04-05,82
2020-04-12,83
2020-04-19,87
2020-04-26,89
2020-05-03,86
2020-05-10,73
2020-05-17,85
2020-05-24,68
2020-05-31,47
2020-06-07,63
2020-06-14,71
2020-06-21,66
2020-06-28,61
2020-07-05,54
2020-07-12,60
2020-07-19,61
2020-07-26,54
2020-08-02,55
2020-08-09,61
2020-08-16,56
2020-08-23,52
2020-08-30,60
2020-09-06,66
2020-09-13,74
2020-09-20,70
2020-09-27,78
2020-10-04,67
2020-10-11,72
2020-10-18,73
2020-10-25,64
2020-11-01,58
2020-11-08,62
2020-11-15,86
2020-11-22,80
2020-11-29,75
2020-12-06,66
2020-12-13,49
2020-12-20,54
2020-12-27,59
