Kategorie: Alle Kategorien

Woche,depression: (Rhode Island)
2020-01-05,36
2020-01-12,66
2020-01-19,67
2020-01-26,58
2020-02-02,57
2020-02-09,75
2020-02-16,29
2020-02-23,66
2020-03-01,44
2020-03-08,97
2020-03-15,58
2020-03-22,94
2020-03-29,25
2020-04-05,100
2020-04-12,75
2020-04-19,54
2020-04-26,55
2020-05-03,84
2020-05-10,72
2020-05-17,65
2020-05-24,58
2020-05-31,45
2020-06-07,26
2020-06-14,33
2020-06-21,22
2020-06-28,39
2020-07-05,57
2020-07-12,28
2020-07-19,51
2020-07-26,17
2020-08-02,23
2020-08-09,58
2020-08-16,52
2020-08-23,39
2020-08-30,17
2020-09-06,33
2020-09-13,73
2020-09-20,54
2020-09-27,57
2020-10-04,35
2020-10-11,52
2020-10-18,39
2020-10-25,77
2020-11-01,53
2020-11-08,54
2020-11-15,80
2020-11-22,28
2020-11-29,27
2020-12-06,54
2020-12-13,57
2020-12-20,22
2020-12-27,28
