Kategorie: Alle Kategorien

Woche,depression: (South Carolina)
2020-01-05,61
2020-01-12,70
2020-01-19,72
2020-01-26,88
2020-02-02,73
2020-02-09,85
2020-02-16,70
2020-02-23,100
2020-03-01,96
2020-03-08,68
2020-03-15,64
2020-03-22,75
2020-03-29,99
2020-04-05,94
2020-04-12,86
2020-04-19,88
2020-04-26,81
2020-05-03,76
2020-05-10,67
2020-05-17,68
2020-05-24,64
2020-05-31,49
2020-06-07,47
2020-06-14,55
2020-06-21,41
2020-06-28,75
2020-07-05,55
2020-07-12,36
2020-07-19,47
2020-07-26,57
2020-08-02,33
2020-08-09,44
2020-08-16,51
2020-08-23,40
2020-08-30,48
2020-09-06,68
2020-09-13,83
2020-09-20,69
2020-09-27,44
2020-10-04,63
2020-10-11,59
2020-10-18,59
2020-10-25,57
2020-11-01,57
2020-11-08,77
2020-11-15,72
2020-11-22,64
2020-11-29,53
2020-12-06,52
2020-12-13,46
2020-12-20,40
2020-12-27,34
