Kategorie: Alle Kategorien

Woche,depression: (Süddakota)
2020-01-05,22
2020-01-12,77
2020-01-19,100
2020-01-26,35
2020-02-02,14
2020-02-09,42
2020-02-16,49
2020-02-23,54
2020-03-01,47
2020-03-08,75
2020-03-15,94
2020-03-22,12
2020-03-29,30
2020-04-05,43
2020-04-12,12
2020-04-19,18
2020-04-26,38
2020-05-03,61
2020-05-10,82
2020-05-17,20
2020-05-24,35
2020-05-31,20
2020-06-07,27
2020-06-14,21
2020-06-21,21
2020-06-28,7
2020-07-05,35
2020-07-12,21
2020-07-19,21
2020-07-26,43
2020-08-02,42
2020-08-09,21
2020-08-16,0
2020-08-23,46
2020-08-30,19
2020-09-06,52
2020-09-13,38
2020-09-20,39
2020-09-27,69
2020-10-04,14
2020-10-11,23
2020-10-18,61
2020-10-25,54
2020-11-01,70
2020-11-08,36
2020-11-15,30
2020-11-22,61
2020-11-29,45
2020-12-06,8
2020-12-13,46
2020-12-20,24
2020-12-27,23
