Kategorie: Alle Kategorien

Woche,depression: (Tennessee)
2020-01-05,74
2020-01-12,82
2020-01-19,56
2020-01-26,72
2020-02-02,100
2020-02-09,96
2020-02-16,80
2020-02-23,82
2020-03-01,88
2020-03-08,95
2020-03-15,84
2020-03-22,78
2020-03-29,94
2020-04-05,94
2020-04-12,96
2020-04-19,82
2020-04-26,60
2020-05-03,72
2020-05-10,72
2020-05-17,62
2020-05-24,66
2020-05-31,64
2020-06-07,70
2020-06-14,62
2020-06-21,50
2020-06-28,49
2020-07-05,75
2020-07-12,55
2020-07-19,48
2020-07-26,74
2020-08-02,76
2020-08-09,73
2020-08-16,62
2020-08-23,85
2020-08-30,72
2020-09-06,75
2020-09-13,83
2020-09-20,79
2020-09-27,60
2020-10-04,85
2020-10-11,63
2020-10-18,80
2020-10-25,91
2020-11-01,72
2020-11-08,62
2020-11-15,92
2020-11-22,76
2020-11-29,88
2020-12-06,92
2020-12-13,82
2020-12-20,32
2020-12-27,60
