Kategorie: Alle Kategorien

Woche,depression: (Texas)
2020-01-05,60
2020-01-12,64
2020-01-19,63
2020-01-26,80
2020-02-02,68
2020-02-09,71
2020-02-16,79
2020-02-23,90
2020-03-01,86
2020-03-08,74
2020-03-15,89
2020-03-22,100
2020-03-29,90
2020-04-05,94
2020-04-12,91
2020-04-19,86
2020-04-26,87
2020-05-03,83
2020-05-10,83
2020-05-17,72
2020-05-24,57
2020-05-31,71
2020-06-07,56
2020-06-14,66
2020-06-21,63
2020-06-28,61
2020-07-05,57
2020-07-12,57
2020-07-19,84
2020-07-26,66
2020-08-02,63
2020-08-09,67
2020-08-16,91
2020-08-23,76
2020-08-30,69
2020-09-06,67
2020-09-13,91
2020-09-20,79
2020-09-27,58
2020-10-04,73
2020-10-11,59
2020-10-18,69
2020-10-25,69
2020-11-01,63
2020-11-08,72
2020-11-15,87
2020-11-22,57
2020-11-29,79
2020-12-06,75
2020-12-13,61
2020-12-20,44
2020-12-27,50
