Kategorie: Alle Kategorien

Woche,depression: (Utah)
2020-01-05,72
2020-01-12,98
2020-01-19,79
2020-01-26,84
2020-02-02,68
2020-02-09,31
2020-02-16,94
2020-02-23,85
2020-03-01,60
2020-03-08,70
2020-03-15,79
2020-03-22,69
2020-03-29,89
2020-04-05,76
2020-04-12,73
2020-04-19,92
2020-04-26,100
2020-05-03,89
2020-05-10,88
2020-05-17,70
2020-05-24,39
2020-05-31,39
2020-06-07,72
2020-06-14,39
2020-06-21,41
2020-06-28,50
2020-07-05,48
2020-07-12,55
2020-07-19,36
2020-07-26,53
2020-08-02,43
2020-08-09,54
2020-08-16,65
2020-08-23,63
2020-08-30,80
2020-09-06,48
2020-09-13,65
2020-09-20,59
2020-09-27,55
2020-10-04,57
2020-10-11,61
2020-10-18,80
2020-10-25,79
2020-11-01,65
2020-11-08,63
2020-11-15,77
2020-11-22,45
2020-11-29,79
2020-12-06,74
2020-12-13,59
2020-12-20,43
2020-12-27,56
