Kategorie: Alle Kategorien

Woche,depression: (Vermont)
2020-01-05,30
2020-01-12,66
2020-01-19,68
2020-01-26,58
2020-02-02,29
2020-02-09,38
2020-02-16,27
2020-02-23,19
2020-03-01,64
2020-03-08,83
2020-03-15,17
2020-03-22,67
2020-03-29,89
2020-04-05,8
2020-04-12,57
2020-04-19,58
2020-04-26,64
2020-05-03,32
2020-05-10,33
2020-05-17,45
2020-05-24,53
2020-05-31,59
2020-06-07,9
2020-06-14,37
2020-06-21,18
2020-06-28,9
2020-07-05,0
2020-07-12,37
2020-07-19,47
2020-07-26,47
2020-08-02,64
2020-08-09,55
2020-08-16,37
2020-08-23,18
2020-08-30,9
2020-09-06,27
2020-09-13,43
2020-09-20,36
2020-09-27,46
2020-10-04,48
2020-10-11,64
2020-10-18,66
2020-10-25,65
2020-11-01,63
2020-11-08,10
2020-11-15,11
2020-11-22,21
2020-11-29,64
2020-12-06,43
2020-12-13,22
2020-12-20,100
2020-12-27,49
