Kategorie: Alle Kategorien

Woche,depression: (Virginia)
2020-01-05,73
2020-01-12,60
2020-01-19,64
2020-01-26,79
2020-02-02,72
2020-02-09,88
2020-02-16,82
2020-02-23,100
2020-03-01,73
2020-03-08,87
2020-03-15,88
2020-03-22,70
2020-03-29,76
2020-04-05,81
2020-04-12,84
2020-04-19,91
2020-04-26,71
2020-05-03,81
2020-05-10,65
2020-05-17,73
2020-05-24,60
2020-05-31,51
2020-06-07,52
2020-06-14,58
2020-06-21,58
2020-06-28,58
2020-07-05,57
2020-07-12,62
2020-07-19,49
2020-07-26,54
2020-08-02,74
2020-08-09,49
2020-08-16,62
2020-08-23,60
2020-08-30,63
2020-09-06,69
2020-09-13,67
2020-09-20,67
2020-09-27,80
2020-10-04,68
2020-10-11,71
2020-10-18,64
2020-10-25,65
2020-11-01,52
2020-11-08,83
2020-11-15,81
2020-11-22,45
2020-11-29,68
2020-12-06,66
2020-12-13,60
2020-12-20,48
2020-12-27,63
