Kategorie: Alle Kategorien

Woche,depression: (Washington)
2020-01-05,62
2020-01-12,50
2020-01-19,83
2020-01-26,78
2020-02-02,73
2020-02-09,78
2020-02-16,90
2020-02-23,88
2020-03-01,89
2020-03-08,91
2020-03-15,100
2020-03-22,87
2020-03-29,84
2020-04-05,81
2020-04-12,70
2020-04-19,93
2020-04-26,69
2020-05-03,86
2020-05-10,78
2020-05-17,77
2020-05-24,69
2020-05-31,62
2020-06-07,72
2020-06-14,76
2020-06-21,62
2020-06-28,53
2020-07-05,65
2020-07-12,60
2020-07-19,64
2020-07-26,58
2020-08-02,61
2020-08-09,70
2020-08-16,68
2020-08-23,80
2020-08-30,59
2020-09-06,55
2020-09-13,63
2020-09-20,62
2020-09-27,62
2020-10-04,72
2020-10-11,88
2020-10-18,67
2020-10-25,56
2020-11-01,50
2020-11-08,58
2020-11-15,51
2020-11-22,64
2020-11-29,75
2020-12-06,70
2020-12-13,63
2020-12-20,54
2020-12-27,78
