Kategorie: Alle Kategorien

Woche,depression: (West Virginia)
2020-01-05,63
2020-01-12,54
2020-01-19,50
2020-01-26,60
2020-02-02,60
2020-02-09,66
2020-02-16,87
2020-02-23,48
2020-03-01,80
2020-03-08,60
2020-03-15,72
2020-03-22,100
2020-03-29,94
2020-04-05,50
2020-04-12,24
2020-04-19,58
2020-04-26,68
2020-05-03,73
2020-05-10,77
2020-05-17,36
2020-05-24,38
2020-05-31,16
2020-06-07,75
2020-06-14,38
2020-06-21,79
2020-06-28,29
2020-07-05,17
2020-07-12,29
2020-07-19,69
2020-07-26,58
2020-08-02,35
2020-08-09,57
2020-08-16,29
2020-08-23,44
2020-08-30,67
2020-09-06,51
2020-09-13,59
2020-09-20,54
2020-09-27,39
2020-10-04,79
2020-10-11,47
2020-10-18,83
2020-10-25,52
2020-11-01,88
2020-11-08,83
2020-11-15,74
2020-11-22,47
2020-11-29,55
2020-12-06,61
2020-12-13,69
2020-12-20,49
2020-12-27,51
