Kategorie: Alle Kategorien

Woche,depression: (Wisconsin)
2020-01-05,53
2020-01-12,72
2020-01-19,70
2020-01-26,67
2020-02-02,78
2020-02-09,64
2020-02-16,71
2020-02-23,63
2020-03-01,68
2020-03-08,72
2020-03-15,100
2020-03-22,60
2020-03-29,89
2020-04-05,81
2020-04-12,98
2020-04-19,85
2020-04-26,65
2020-05-03,98
2020-05-10,88
2020-05-17,71
2020-05-24,57
2020-05-31,54
2020-06-07,52
2020-06-14,47
2020-06-21,57
2020-06-28,54
2020-07-05,48
2020-07-12,56
2020-07-19,65
2020-07-26,56
2020-08-02,45
2020-08-09,39
2020-08-16,52
2020-08-23,38
2020-08-30,55
2020-09-06,50
2020-09-13,51
2020-09-20,52
2020-09-27,44
2020-10-04,54
2020-10-11,82
2020-10-18,50
2020-10-25,64
2020-11-01,37
2020-11-08,77
2020-11-15,58
2020-11-22,45
2020-11-29,68
2020-12-06,45
2020-12-13,65
2020-12-20,46
2020-12-27,64
