Kategorie: Alle Kategorien

Woche,depression: (Wyoming)
2020-01-05,28
2020-01-12,80
2020-01-19,69
2020-01-26,67
2020-02-02,51
2020-02-09,80
2020-02-16,39
2020-02-23,75
2020-03-01,13
2020-03-08,12
2020-03-15,49
2020-03-22,57
2020-03-29,67
2020-04-05,56
2020-04-12,21
2020-04-19,45
2020-04-26,79
2020-05-03,78
2020-05-10,35
2020-05-17,61
2020-05-24,0
2020-05-31,48
2020-06-07,61
2020-06-14,25
2020-06-21,38
2020-06-28,37
2020-07-05,100
2020-07-12,50
2020-07-19,37
2020-07-26,37
2020-08-02,99
2020-08-09,25
2020-08-16,24
2020-08-23,37
2020-08-30,37
2020-09-06,24
2020-09-13,25
2020-09-20,12
2020-09-27,39
2020-10-04,67
2020-10-11,28
2020-10-18,57
2020-10-25,28
2020-11-01,12
2020-11-08,82
2020-11-15,57
2020-11-22,29
2020-11-29,84
2020-12-06,28
2020-12-13,29
2020-12-20,30
2020-12-27,41
