Kategorie: Alle Kategorien

Woche,insomnia: (Maine)
2020-01-05,58
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,27
2020-02-09,28
2020-02-16,29
2020-02-23,0
2020-03-01,27
2020-03-08,53
2020-03-15,25
2020-03-22,24
2020-03-29,23
2020-04-05,0
2020-04-12,0
2020-04-19,71
2020-04-26,23
2020-05-03,23
2020-05-10,0
2020-05-17,49
2020-05-24,24
2020-05-31,0
2020-06-07,0
2020-06-14,78
2020-06-21,75
2020-06-28,24
2020-07-05,49
2020-07-12,75
2020-07-19,25
2020-07-26,49
2020-08-02,50
2020-08-09,25
2020-08-16,100
2020-08-23,24
2020-08-30,74
2020-09-06,74
2020-09-13,47
2020-09-20,75
2020-09-27,0
2020-10-04,0
2020-10-11,30
2020-10-18,63
2020-10-25,31
2020-11-01,0
2020-11-08,29
2020-11-15,0
2020-11-22,60
2020-11-29,30
2020-12-06,30
2020-12-13,0
2020-12-20,67
2020-12-27,29
