Kategorie: Alle Kategorien

Woche,suicide: (Alabama)
2020-01-05,39
2020-01-12,62
2020-01-19,81
2020-01-26,64
2020-02-02,60
2020-02-09,63
2020-02-16,70
2020-02-23,49
2020-03-01,58
2020-03-08,40
2020-03-15,47
2020-03-22,44
2020-03-29,36
2020-04-05,63
2020-04-12,43
2020-04-19,47
2020-04-26,58
2020-05-03,48
2020-05-10,45
2020-05-17,47
2020-05-24,48
2020-05-31,47
2020-06-07,49
2020-06-14,44
2020-06-21,59
2020-06-28,58
2020-07-05,74
2020-07-12,92
2020-07-19,48
2020-07-26,44
2020-08-02,72
2020-08-09,45
2020-08-16,66
2020-08-23,79
2020-08-30,61
2020-09-06,100
2020-09-13,59
2020-09-20,81
2020-09-27,43
2020-10-04,28
2020-10-11,45
2020-10-18,72
2020-10-25,85
2020-11-01,67
2020-11-08,67
2020-11-15,63
2020-11-22,61
2020-11-29,40
2020-12-06,53
2020-12-13,35
2020-12-20,41
2020-12-27,59
