Kategorie: Alle Kategorien

Woche,suicide: (Alaska)
2020-01-05,78
2020-01-12,56
2020-01-19,28
2020-01-26,19
2020-02-02,19
2020-02-09,19
2020-02-16,19
2020-02-23,45
2020-03-01,18
2020-03-08,46
2020-03-15,44
2020-03-22,40
2020-03-29,30
2020-04-05,39
2020-04-12,23
2020-04-19,31
2020-04-26,39
2020-05-03,32
2020-05-10,17
2020-05-17,34
2020-05-24,44
2020-05-31,35
2020-06-07,17
2020-06-14,45
2020-06-21,45
2020-06-28,47
2020-07-05,55
2020-07-12,9
2020-07-19,36
2020-07-26,55
2020-08-02,36
2020-08-09,64
2020-08-16,27
2020-08-23,34
2020-08-30,97
2020-09-06,100
2020-09-13,52
2020-09-20,53
2020-09-27,46
2020-10-04,19
2020-10-11,32
2020-10-18,43
2020-10-25,32
2020-11-01,9
2020-11-08,40
2020-11-15,52
2020-11-22,21
2020-11-29,20
2020-12-06,31
2020-12-13,32
2020-12-20,23
2020-12-27,21
