Kategorie: Alle Kategorien

Woche,suicide: (Arizona)
2020-01-05,41
2020-01-12,41
2020-01-19,46
2020-01-26,38
2020-02-02,35
2020-02-09,52
2020-02-16,50
2020-02-23,40
2020-03-01,57
2020-03-08,43
2020-03-15,26
2020-03-22,38
2020-03-29,38
2020-04-05,47
2020-04-12,36
2020-04-19,40
2020-04-26,51
2020-05-03,50
2020-05-10,34
2020-05-17,46
2020-05-24,37
2020-05-31,48
2020-06-07,29
2020-06-14,55
2020-06-21,47
2020-06-28,37
2020-07-05,50
2020-07-12,48
2020-07-19,44
2020-07-26,31
2020-08-02,44
2020-08-09,34
2020-08-16,40
2020-08-23,61
2020-08-30,49
2020-09-06,100
2020-09-13,47
2020-09-20,40
2020-09-27,43
2020-10-04,47
2020-10-11,40
2020-10-18,39
2020-10-25,45
2020-11-01,44
2020-11-08,37
2020-11-15,35
2020-11-22,41
2020-11-29,43
2020-12-06,39
2020-12-13,34
2020-12-20,36
2020-12-27,34
