Kategorie: Alle Kategorien

Woche,suicide: (Arkansas)
2020-01-05,37
2020-01-12,38
2020-01-19,78
2020-01-26,39
2020-02-02,75
2020-02-09,45
2020-02-16,44
2020-02-23,50
2020-03-01,19
2020-03-08,61
2020-03-15,30
2020-03-22,25
2020-03-29,32
2020-04-05,45
2020-04-12,32
2020-04-19,48
2020-04-26,35
2020-05-03,46
2020-05-10,51
2020-05-17,48
2020-05-24,47
2020-05-31,49
2020-06-07,19
2020-06-14,51
2020-06-21,49
2020-06-28,26
2020-07-05,46
2020-07-12,44
2020-07-19,36
2020-07-26,100
2020-08-02,34
2020-08-09,26
2020-08-16,47
2020-08-23,48
2020-08-30,32
2020-09-06,98
2020-09-13,57
2020-09-20,60
2020-09-27,49
2020-10-04,49
2020-10-11,44
2020-10-18,40
2020-10-25,62
2020-11-01,25
2020-11-08,35
2020-11-15,54
2020-11-22,26
2020-11-29,17
2020-12-06,17
2020-12-13,31
2020-12-20,49
2020-12-27,31
