Kategorie: Alle Kategorien

Woche,suicide: (Kalifornien)
2020-01-05,48
2020-01-12,53
2020-01-19,51
2020-01-26,52
2020-02-02,58
2020-02-09,59
2020-02-16,62
2020-02-23,53
2020-03-01,49
2020-03-08,48
2020-03-15,40
2020-03-22,41
2020-03-29,61
2020-04-05,53
2020-04-12,54
2020-04-19,50
2020-04-26,66
2020-05-03,50
2020-05-10,47
2020-05-17,53
2020-05-24,56
2020-05-31,47
2020-06-07,51
2020-06-14,68
2020-06-21,59
2020-06-28,56
2020-07-05,53
2020-07-12,55
2020-07-19,54
2020-07-26,50
2020-08-02,50
2020-08-09,48
2020-08-16,50
2020-08-23,70
2020-08-30,57
2020-09-06,100
2020-09-13,60
2020-09-20,54
2020-09-27,48
2020-10-04,52
2020-10-11,54
2020-10-18,45
2020-10-25,50
2020-11-01,42
2020-11-08,44
2020-11-15,49
2020-11-22,40
2020-11-29,63
2020-12-06,53
2020-12-13,48
2020-12-20,40
2020-12-27,42
