Kategorie: Alle Kategorien

Woche,suicide: (Colorado)
2020-01-05,39
2020-01-12,63
2020-01-19,73
2020-01-26,42
2020-02-02,84
2020-02-09,55
2020-02-16,68
2020-02-23,49
2020-03-01,50
2020-03-08,48
2020-03-15,30
2020-03-22,47
2020-03-29,40
2020-04-05,51
2020-04-12,48
2020-04-19,37
2020-04-26,54
2020-05-03,53
2020-05-10,45
2020-05-17,39
2020-05-24,49
2020-05-31,35
2020-06-07,43
2020-06-14,55
2020-06-21,24
2020-06-28,53
2020-07-05,38
2020-07-12,44
2020-07-19,50
2020-07-26,51
2020-08-02,49
2020-08-09,47
2020-08-16,32
2020-08-23,55
2020-08-30,59
2020-09-06,100
2020-09-13,44
2020-09-20,59
2020-09-27,49
2020-10-04,44
2020-10-11,38
2020-10-18,39
2020-10-25,35
2020-11-01,34
2020-11-08,33
2020-11-15,44
2020-11-22,35
2020-11-29,51
2020-12-06,48
2020-12-13,48
2020-12-20,30
2020-12-27,44
