Kategorie: Alle Kategorien

Woche,suicide: (Connecticut)
2020-01-05,28
2020-01-12,39
2020-01-19,54
2020-01-26,100
2020-02-02,53
2020-02-09,58
2020-02-16,58
2020-02-23,50
2020-03-01,40
2020-03-08,40
2020-03-15,37
2020-03-22,36
2020-03-29,38
2020-04-05,42
2020-04-12,39
2020-04-19,37
2020-04-26,70
2020-05-03,27
2020-05-10,37
2020-05-17,30
2020-05-24,44
2020-05-31,55
2020-06-07,40
2020-06-14,57
2020-06-21,40
2020-06-28,47
2020-07-05,38
2020-07-12,44
2020-07-19,28
2020-07-26,36
2020-08-02,33
2020-08-09,29
2020-08-16,34
2020-08-23,54
2020-08-30,43
2020-09-06,82
2020-09-13,39
2020-09-20,33
2020-09-27,38
2020-10-04,55
2020-10-11,43
2020-10-18,30
2020-10-25,52
2020-11-01,31
2020-11-08,43
2020-11-15,42
2020-11-22,37
2020-11-29,35
2020-12-06,51
2020-12-13,27
2020-12-20,37
2020-12-27,35
