Kategorie: Alle Kategorien

Woche,suicide: (Delaware)
2020-01-05,17
2020-01-12,59
2020-01-19,18
2020-01-26,26
2020-02-02,68
2020-02-09,78
2020-02-16,25
2020-02-23,66
2020-03-01,90
2020-03-08,81
2020-03-15,79
2020-03-22,37
2020-03-29,36
2020-04-05,29
2020-04-12,36
2020-04-19,21
2020-04-26,57
2020-05-03,48
2020-05-10,51
2020-05-17,50
2020-05-24,37
2020-05-31,99
2020-06-07,29
2020-06-14,59
2020-06-21,61
2020-06-28,15
2020-07-05,47
2020-07-12,40
2020-07-19,47
2020-07-26,32
2020-08-02,8
2020-08-09,47
2020-08-16,64
2020-08-23,95
2020-08-30,94
2020-09-06,100
2020-09-13,52
2020-09-20,23
2020-09-27,40
2020-10-04,59
2020-10-11,18
2020-10-18,91
2020-10-25,36
2020-11-01,23
2020-11-08,26
2020-11-15,35
2020-11-22,36
2020-11-29,59
2020-12-06,43
2020-12-13,43
2020-12-20,18
2020-12-27,17
