Kategorie: Alle Kategorien

Woche,suicide: (Florida)
2020-01-05,42
2020-01-12,61
2020-01-19,55
2020-01-26,54
2020-02-02,53
2020-02-09,56
2020-02-16,70
2020-02-23,64
2020-03-01,56
2020-03-08,48
2020-03-15,36
2020-03-22,47
2020-03-29,53
2020-04-05,60
2020-04-12,47
2020-04-19,45
2020-04-26,68
2020-05-03,52
2020-05-10,49
2020-05-17,44
2020-05-24,50
2020-05-31,49
2020-06-07,47
2020-06-14,58
2020-06-21,57
2020-06-28,58
2020-07-05,55
2020-07-12,51
2020-07-19,52
2020-07-26,48
2020-08-02,42
2020-08-09,51
2020-08-16,56
2020-08-23,75
2020-08-30,56
2020-09-06,100
2020-09-13,61
2020-09-20,51
2020-09-27,50
2020-10-04,51
2020-10-11,52
2020-10-18,43
2020-10-25,46
2020-11-01,47
2020-11-08,46
2020-11-15,49
2020-11-22,41
2020-11-29,54
2020-12-06,45
2020-12-13,50
2020-12-20,45
2020-12-27,49
