Kategorie: Alle Kategorien

Woche,suicide: (Georgia)
2020-01-05,48
2020-01-12,44
2020-01-19,39
2020-01-26,50
2020-02-02,62
2020-02-09,58
2020-02-16,47
2020-02-23,41
2020-03-01,52
2020-03-08,48
2020-03-15,46
2020-03-22,37
2020-03-29,52
2020-04-05,38
2020-04-12,42
2020-04-19,34
2020-04-26,74
2020-05-03,45
2020-05-10,41
2020-05-17,36
2020-05-24,45
2020-05-31,56
2020-06-07,49
2020-06-14,58
2020-06-21,50
2020-06-28,61
2020-07-05,50
2020-07-12,54
2020-07-19,49
2020-07-26,38
2020-08-02,54
2020-08-09,33
2020-08-16,56
2020-08-23,72
2020-08-30,58
2020-09-06,100
2020-09-13,65
2020-09-20,46
2020-09-27,49
2020-10-04,43
2020-10-11,46
2020-10-18,36
2020-10-25,41
2020-11-01,40
2020-11-08,39
2020-11-15,49
2020-11-22,33
2020-11-29,40
2020-12-06,36
2020-12-13,42
2020-12-20,42
2020-12-27,36
