Kategorie: Alle Kategorien

Woche,suicide: (Hawaii)
2020-01-05,19
2020-01-12,63
2020-01-19,45
2020-01-26,58
2020-02-02,79
2020-02-09,32
2020-02-16,19
2020-02-23,36
2020-03-01,30
2020-03-08,47
2020-03-15,18
2020-03-22,42
2020-03-29,75
2020-04-05,35
2020-04-12,40
2020-04-19,45
2020-04-26,69
2020-05-03,53
2020-05-10,84
2020-05-17,48
2020-05-24,90
2020-05-31,44
2020-06-07,38
2020-06-14,64
2020-06-21,47
2020-06-28,47
2020-07-05,48
2020-07-12,61
2020-07-19,40
2020-07-26,27
2020-08-02,87
2020-08-09,26
2020-08-16,77
2020-08-23,53
2020-08-30,88
2020-09-06,96
2020-09-13,23
2020-09-20,31
2020-09-27,100
2020-10-04,50
2020-10-11,84
2020-10-18,60
2020-10-25,44
2020-11-01,44
2020-11-08,57
2020-11-15,64
2020-11-22,28
2020-11-29,43
2020-12-06,60
2020-12-13,16
2020-12-20,16
2020-12-27,37
