Kategorie: Alle Kategorien

Woche,suicide: (Idaho)
2020-01-05,55
2020-01-12,75
2020-01-19,79
2020-01-26,54
2020-02-02,100
2020-02-09,78
2020-02-16,77
2020-02-23,79
2020-03-01,56
2020-03-08,98
2020-03-15,37
2020-03-22,57
2020-03-29,74
2020-04-05,60
2020-04-12,44
2020-04-19,60
2020-04-26,45
2020-05-03,46
2020-05-10,88
2020-05-17,26
2020-05-24,39
2020-05-31,58
2020-06-07,53
2020-06-14,60
2020-06-21,45
2020-06-28,34
2020-07-05,46
2020-07-12,23
2020-07-19,52
2020-07-26,58
2020-08-02,64
2020-08-09,35
2020-08-16,46
2020-08-23,88
2020-08-30,60
2020-09-06,95
2020-09-13,62
2020-09-20,38
2020-09-27,53
2020-10-04,84
2020-10-11,66
2020-10-18,79
2020-10-25,45
2020-11-01,52
2020-11-08,78
2020-11-15,50
2020-11-22,57
2020-11-29,62
2020-12-06,75
2020-12-13,32
2020-12-20,41
2020-12-27,90
