Kategorie: Alle Kategorien

Woche,suicide: (Illinois)
2020-01-05,59
2020-01-12,61
2020-01-19,59
2020-01-26,61
2020-02-02,67
2020-02-09,64
2020-02-16,83
2020-02-23,55
2020-03-01,67
2020-03-08,42
2020-03-15,40
2020-03-22,52
2020-03-29,50
2020-04-05,39
2020-04-12,51
2020-04-19,49
2020-04-26,66
2020-05-03,66
2020-05-10,56
2020-05-17,51
2020-05-24,64
2020-05-31,63
2020-06-07,47
2020-06-14,72
2020-06-21,50
2020-06-28,53
2020-07-05,56
2020-07-12,56
2020-07-19,53
2020-07-26,62
2020-08-02,50
2020-08-09,46
2020-08-16,49
2020-08-23,71
2020-08-30,56
2020-09-06,100
2020-09-13,68
2020-09-20,49
2020-09-27,51
2020-10-04,62
2020-10-11,49
2020-10-18,54
2020-10-25,60
2020-11-01,42
2020-11-08,43
2020-11-15,49
2020-11-22,41
2020-11-29,55
2020-12-06,43
2020-12-13,32
2020-12-20,48
2020-12-27,57
