Kategorie: Alle Kategorien

Woche,suicide: (Indiana)
2020-01-05,41
2020-01-12,38
2020-01-19,48
2020-01-26,36
2020-02-02,47
2020-02-09,53
2020-02-16,48
2020-02-23,57
2020-03-01,38
2020-03-08,23
2020-03-15,27
2020-03-22,35
2020-03-29,45
2020-04-05,30
2020-04-12,33
2020-04-19,31
2020-04-26,53
2020-05-03,31
2020-05-10,42
2020-05-17,37
2020-05-24,26
2020-05-31,37
2020-06-07,37
2020-06-14,38
2020-06-21,38
2020-06-28,34
2020-07-05,38
2020-07-12,30
2020-07-19,39
2020-07-26,44
2020-08-02,28
2020-08-09,30
2020-08-16,40
2020-08-23,50
2020-08-30,43
2020-09-06,100
2020-09-13,37
2020-09-20,42
2020-09-27,41
2020-10-04,33
2020-10-11,33
2020-10-18,33
2020-10-25,38
2020-11-01,33
2020-11-08,32
2020-11-15,26
2020-11-22,36
2020-11-29,28
2020-12-06,25
2020-12-13,27
2020-12-20,35
2020-12-27,32
