Kategorie: Alle Kategorien

Woche,suicide: (Iowa)
2020-01-05,47
2020-01-12,38
2020-01-19,37
2020-01-26,29
2020-02-02,31
2020-02-09,41
2020-02-16,65
2020-02-23,50
2020-03-01,35
2020-03-08,35
2020-03-15,31
2020-03-22,24
2020-03-29,23
2020-04-05,42
2020-04-12,43
2020-04-19,41
2020-04-26,41
2020-05-03,30
2020-05-10,29
2020-05-17,24
2020-05-24,37
2020-05-31,49
2020-06-07,25
2020-06-14,21
2020-06-21,31
2020-06-28,44
2020-07-05,39
2020-07-12,42
2020-07-19,30
2020-07-26,35
2020-08-02,30
2020-08-09,22
2020-08-16,40
2020-08-23,67
2020-08-30,46
2020-09-06,100
2020-09-13,61
2020-09-20,39
2020-09-27,41
2020-10-04,46
2020-10-11,33
2020-10-18,35
2020-10-25,22
2020-11-01,36
2020-11-08,30
2020-11-15,29
2020-11-22,34
2020-11-29,29
2020-12-06,42
2020-12-13,18
2020-12-20,28
2020-12-27,34
