Kategorie: Alle Kategorien

Woche,suicide: (Kansas)
2020-01-05,29
2020-01-12,44
2020-01-19,39
2020-01-26,44
2020-02-02,36
2020-02-09,56
2020-02-16,39
2020-02-23,24
2020-03-01,44
2020-03-08,38
2020-03-15,30
2020-03-22,44
2020-03-29,42
2020-04-05,53
2020-04-12,41
2020-04-19,42
2020-04-26,32
2020-05-03,54
2020-05-10,28
2020-05-17,55
2020-05-24,60
2020-05-31,35
2020-06-07,32
2020-06-14,42
2020-06-21,52
2020-06-28,26
2020-07-05,42
2020-07-12,37
2020-07-19,40
2020-07-26,56
2020-08-02,38
2020-08-09,47
2020-08-16,41
2020-08-23,70
2020-08-30,44
2020-09-06,100
2020-09-13,57
2020-09-20,66
2020-09-27,66
2020-10-04,36
2020-10-11,36
2020-10-18,29
2020-10-25,32
2020-11-01,40
2020-11-08,21
2020-11-15,49
2020-11-22,34
2020-11-29,67
2020-12-06,27
2020-12-13,39
2020-12-20,26
2020-12-27,31
