Kategorie: Alle Kategorien

Woche,suicide: (Kentucky)
2020-01-05,28
2020-01-12,65
2020-01-19,56
2020-01-26,53
2020-02-02,55
2020-02-09,48
2020-02-16,72
2020-02-23,64
2020-03-01,33
2020-03-08,46
2020-03-15,33
2020-03-22,39
2020-03-29,59
2020-04-05,45
2020-04-12,28
2020-04-19,54
2020-04-26,67
2020-05-03,43
2020-05-10,38
2020-05-17,42
2020-05-24,49
2020-05-31,34
2020-06-07,27
2020-06-14,65
2020-06-21,38
2020-06-28,59
2020-07-05,38
2020-07-12,52
2020-07-19,38
2020-07-26,45
2020-08-02,24
2020-08-09,48
2020-08-16,44
2020-08-23,61
2020-08-30,57
2020-09-06,100
2020-09-13,64
2020-09-20,48
2020-09-27,51
2020-10-04,43
2020-10-11,22
2020-10-18,45
2020-10-25,61
2020-11-01,34
2020-11-08,30
2020-11-15,40
2020-11-22,48
2020-11-29,34
2020-12-06,43
2020-12-13,26
2020-12-20,45
2020-12-27,44
