Kategorie: Alle Kategorien

Woche,suicide: (Louisiana)
2020-01-05,38
2020-01-12,69
2020-01-19,47
2020-01-26,37
2020-02-02,50
2020-02-09,64
2020-02-16,79
2020-02-23,55
2020-03-01,72
2020-03-08,49
2020-03-15,56
2020-03-22,55
2020-03-29,45
2020-04-05,38
2020-04-12,32
2020-04-19,42
2020-04-26,53
2020-05-03,61
2020-05-10,37
2020-05-17,55
2020-05-24,39
2020-05-31,62
2020-06-07,57
2020-06-14,42
2020-06-21,55
2020-06-28,53
2020-07-05,53
2020-07-12,65
2020-07-19,56
2020-07-26,54
2020-08-02,49
2020-08-09,50
2020-08-16,49
2020-08-23,58
2020-08-30,79
2020-09-06,100
2020-09-13,47
2020-09-20,54
2020-09-27,65
2020-10-04,61
2020-10-11,39
2020-10-18,75
2020-10-25,67
2020-11-01,46
2020-11-08,51
2020-11-15,55
2020-11-22,21
2020-11-29,45
2020-12-06,37
2020-12-13,41
2020-12-20,28
2020-12-27,42
