Kategorie: Alle Kategorien

Woche,suicide: (Maine)
2020-01-05,100
2020-01-12,68
2020-01-19,50
2020-01-26,97
2020-02-02,67
2020-02-09,55
2020-02-16,86
2020-02-23,53
2020-03-01,93
2020-03-08,59
2020-03-15,37
2020-03-22,41
2020-03-29,79
2020-04-05,86
2020-04-12,39
2020-04-19,52
2020-04-26,50
2020-05-03,40
2020-05-10,18
2020-05-17,43
2020-05-24,48
2020-05-31,64
2020-06-07,48
2020-06-14,25
2020-06-21,31
2020-06-28,60
2020-07-05,49
2020-07-12,31
2020-07-19,74
2020-07-26,42
2020-08-02,55
2020-08-09,55
2020-08-16,43
2020-08-23,96
2020-08-30,98
2020-09-06,91
2020-09-13,47
2020-09-20,67
2020-09-27,45
2020-10-04,47
2020-10-11,59
2020-10-18,39
2020-10-25,15
2020-11-01,19
2020-11-08,51
2020-11-15,22
2020-11-22,45
2020-11-29,37
2020-12-06,82
2020-12-13,77
2020-12-20,41
2020-12-27,36
