Kategorie: Alle Kategorien

Woche,suicide: (Massachusetts)
2020-01-05,57
2020-01-12,71
2020-01-19,59
2020-01-26,100
2020-02-02,75
2020-02-09,77
2020-02-16,70
2020-02-23,66
2020-03-01,53
2020-03-08,54
2020-03-15,43
2020-03-22,48
2020-03-29,54
2020-04-05,62
2020-04-12,55
2020-04-19,47
2020-04-26,73
2020-05-03,65
2020-05-10,51
2020-05-17,49
2020-05-24,44
2020-05-31,63
2020-06-07,49
2020-06-14,72
2020-06-21,60
2020-06-28,82
2020-07-05,60
2020-07-12,72
2020-07-19,71
2020-07-26,56
2020-08-02,64
2020-08-09,75
2020-08-16,75
2020-08-23,90
2020-08-30,52
2020-09-06,97
2020-09-13,46
2020-09-20,53
2020-09-27,51
2020-10-04,48
2020-10-11,44
2020-10-18,48
2020-10-25,57
2020-11-01,55
2020-11-08,73
2020-11-15,61
2020-11-22,47
2020-11-29,64
2020-12-06,46
2020-12-13,50
2020-12-20,54
2020-12-27,44
