Kategorie: Alle Kategorien

Woche,suicide: (Michigan)
2020-01-05,56
2020-01-12,56
2020-01-19,64
2020-01-26,57
2020-02-02,57
2020-02-09,63
2020-02-16,62
2020-02-23,57
2020-03-01,57
2020-03-08,50
2020-03-15,43
2020-03-22,45
2020-03-29,43
2020-04-05,72
2020-04-12,47
2020-04-19,38
2020-04-26,62
2020-05-03,39
2020-05-10,59
2020-05-17,39
2020-05-24,38
2020-05-31,43
2020-06-07,36
2020-06-14,58
2020-06-21,41
2020-06-28,50
2020-07-05,48
2020-07-12,52
2020-07-19,53
2020-07-26,44
2020-08-02,48
2020-08-09,38
2020-08-16,47
2020-08-23,73
2020-08-30,43
2020-09-06,100
2020-09-13,51
2020-09-20,51
2020-09-27,46
2020-10-04,42
2020-10-11,54
2020-10-18,43
2020-10-25,49
2020-11-01,39
2020-11-08,46
2020-11-15,56
2020-11-22,49
2020-11-29,46
2020-12-06,34
2020-12-13,47
2020-12-20,50
2020-12-27,45
