Kategorie: Alle Kategorien

Woche,suicide: (Minnesota)
2020-01-05,34
2020-01-12,26
2020-01-19,26
2020-01-26,23
2020-02-02,36
2020-02-09,37
2020-02-16,31
2020-02-23,34
2020-03-01,31
2020-03-08,35
2020-03-15,20
2020-03-22,25
2020-03-29,25
2020-04-05,32
2020-04-12,25
2020-04-19,33
2020-04-26,42
2020-05-03,22
2020-05-10,26
2020-05-17,35
2020-05-24,23
2020-05-31,30
2020-06-07,25
2020-06-14,29
2020-06-21,36
2020-06-28,35
2020-07-05,19
2020-07-12,26
2020-07-19,18
2020-07-26,31
2020-08-02,38
2020-08-09,23
2020-08-16,28
2020-08-23,100
2020-08-30,37
2020-09-06,68
2020-09-13,36
2020-09-20,20
2020-09-27,28
2020-10-04,24
2020-10-11,19
2020-10-18,31
2020-10-25,26
2020-11-01,15
2020-11-08,18
2020-11-15,31
2020-11-22,26
2020-11-29,27
2020-12-06,29
2020-12-13,34
2020-12-20,19
2020-12-27,31
