Kategorie: Alle Kategorien

Woche,suicide: (Mississippi)
2020-01-05,31
2020-01-12,19
2020-01-19,20
2020-01-26,27
2020-02-02,43
2020-02-09,57
2020-02-16,42
2020-02-23,36
2020-03-01,26
2020-03-08,42
2020-03-15,13
2020-03-22,16
2020-03-29,37
2020-04-05,25
2020-04-12,53
2020-04-19,36
2020-04-26,37
2020-05-03,46
2020-05-10,47
2020-05-17,25
2020-05-24,20
2020-05-31,25
2020-06-07,38
2020-06-14,16
2020-06-21,55
2020-06-28,40
2020-07-05,34
2020-07-12,40
2020-07-19,20
2020-07-26,34
2020-08-02,51
2020-08-09,43
2020-08-16,25
2020-08-23,33
2020-08-30,50
2020-09-06,100
2020-09-13,40
2020-09-20,28
2020-09-27,43
2020-10-04,30
2020-10-11,30
2020-10-18,22
2020-10-25,29
2020-11-01,16
2020-11-08,21
2020-11-15,32
2020-11-22,29
2020-11-29,14
2020-12-06,39
2020-12-13,21
2020-12-20,11
2020-12-27,32
