Kategorie: Alle Kategorien

Woche,suicide: (Missouri)
2020-01-05,40
2020-01-12,48
2020-01-19,45
2020-01-26,45
2020-02-02,43
2020-02-09,49
2020-02-16,58
2020-02-23,40
2020-03-01,46
2020-03-08,27
2020-03-15,29
2020-03-22,32
2020-03-29,39
2020-04-05,35
2020-04-12,32
2020-04-19,37
2020-04-26,56
2020-05-03,41
2020-05-10,44
2020-05-17,40
2020-05-24,42
2020-05-31,33
2020-06-07,29
2020-06-14,48
2020-06-21,44
2020-06-28,38
2020-07-05,37
2020-07-12,46
2020-07-19,45
2020-07-26,29
2020-08-02,40
2020-08-09,30
2020-08-16,43
2020-08-23,62
2020-08-30,40
2020-09-06,100
2020-09-13,46
2020-09-20,50
2020-09-27,32
2020-10-04,30
2020-10-11,37
2020-10-18,39
2020-10-25,54
2020-11-01,37
2020-11-08,42
2020-11-15,37
2020-11-22,36
2020-11-29,56
2020-12-06,29
2020-12-13,46
2020-12-20,31
2020-12-27,43
