Kategorie: Alle Kategorien

Woche,suicide: (Montana)
2020-01-05,44
2020-01-12,42
2020-01-19,53
2020-01-26,26
2020-02-02,59
2020-02-09,77
2020-02-16,59
2020-02-23,66
2020-03-01,66
2020-03-08,40
2020-03-15,40
2020-03-22,21
2020-03-29,21
2020-04-05,73
2020-04-12,56
2020-04-19,64
2020-04-26,44
2020-05-03,52
2020-05-10,52
2020-05-17,23
2020-05-24,65
2020-05-31,61
2020-06-07,69
2020-06-14,62
2020-06-21,16
2020-06-28,40
2020-07-05,33
2020-07-12,32
2020-07-19,49
2020-07-26,32
2020-08-02,48
2020-08-09,40
2020-08-16,32
2020-08-23,62
2020-08-30,68
2020-09-06,100
2020-09-13,58
2020-09-20,61
2020-09-27,74
2020-10-04,67
2020-10-11,54
2020-10-18,52
2020-10-25,0
2020-11-01,74
2020-11-08,34
2020-11-15,26
2020-11-22,45
2020-11-29,71
2020-12-06,36
2020-12-13,54
2020-12-20,38
2020-12-27,35
