Kategorie: Alle Kategorien

Woche,suicide: (New Hampshire)
2020-01-05,36
2020-01-12,30
2020-01-19,50
2020-01-26,53
2020-02-02,86
2020-02-09,30
2020-02-16,29
2020-02-23,68
2020-03-01,47
2020-03-08,75
2020-03-15,20
2020-03-22,43
2020-03-29,35
2020-04-05,43
2020-04-12,46
2020-04-19,28
2020-04-26,36
2020-05-03,28
2020-05-10,40
2020-05-17,22
2020-05-24,64
2020-05-31,32
2020-06-07,19
2020-06-14,40
2020-06-21,32
2020-06-28,55
2020-07-05,4
2020-07-12,41
2020-07-19,50
2020-07-26,37
2020-08-02,37
2020-08-09,53
2020-08-16,41
2020-08-23,64
2020-08-30,24
2020-09-06,100
2020-09-13,27
2020-09-20,12
2020-09-27,46
2020-10-04,34
2020-10-11,41
2020-10-18,28
2020-10-25,37
2020-11-01,27
2020-11-08,36
2020-11-15,41
2020-11-22,32
2020-11-29,22
2020-12-06,31
2020-12-13,37
2020-12-20,34
2020-12-27,40
