Kategorie: Alle Kategorien

Woche,suicide: (New Jersey)
2020-01-05,61
2020-01-12,57
2020-01-19,73
2020-01-26,79
2020-02-02,86
2020-02-09,83
2020-02-16,90
2020-02-23,77
2020-03-01,46
2020-03-08,60
2020-03-15,38
2020-03-22,54
2020-03-29,62
2020-04-05,69
2020-04-12,44
2020-04-19,51
2020-04-26,93
2020-05-03,79
2020-05-10,60
2020-05-17,56
2020-05-24,60
2020-05-31,59
2020-06-07,57
2020-06-14,73
2020-06-21,59
2020-06-28,79
2020-07-05,66
2020-07-12,71
2020-07-19,53
2020-07-26,44
2020-08-02,65
2020-08-09,56
2020-08-16,51
2020-08-23,88
2020-08-30,55
2020-09-06,100
2020-09-13,45
2020-09-20,62
2020-09-27,52
2020-10-04,42
2020-10-11,46
2020-10-18,63
2020-10-25,57
2020-11-01,44
2020-11-08,45
2020-11-15,53
2020-11-22,37
2020-11-29,50
2020-12-06,60
2020-12-13,43
2020-12-20,60
2020-12-27,67
