Kategorie: Alle Kategorien

Woche,suicide: (New Mexico)
2020-01-05,32
2020-01-12,17
2020-01-19,61
2020-01-26,47
2020-02-02,26
2020-02-09,53
2020-02-16,76
2020-02-23,36
2020-03-01,75
2020-03-08,40
2020-03-15,19
2020-03-22,46
2020-03-29,62
2020-04-05,28
2020-04-12,41
2020-04-19,50
2020-04-26,51
2020-05-03,39
2020-05-10,43
2020-05-17,25
2020-05-24,39
2020-05-31,48
2020-06-07,43
2020-06-14,38
2020-06-21,45
2020-06-28,48
2020-07-05,45
2020-07-12,42
2020-07-19,46
2020-07-26,20
2020-08-02,36
2020-08-09,41
2020-08-16,55
2020-08-23,42
2020-08-30,31
2020-09-06,100
2020-09-13,31
2020-09-20,19
2020-09-27,46
2020-10-04,41
2020-10-11,44
2020-10-18,36
2020-10-25,36
2020-11-01,30
2020-11-08,48
2020-11-15,14
2020-11-22,34
2020-11-29,57
2020-12-06,50
2020-12-13,22
2020-12-20,35
2020-12-27,39
