Kategorie: Alle Kategorien

Woche,suicide: (North Carolina)
2020-01-05,40
2020-01-12,56
2020-01-19,57
2020-01-26,63
2020-02-02,63
2020-02-09,50
2020-02-16,60
2020-02-23,57
2020-03-01,59
2020-03-08,49
2020-03-15,48
2020-03-22,42
2020-03-29,50
2020-04-05,46
2020-04-12,43
2020-04-19,57
2020-04-26,63
2020-05-03,51
2020-05-10,51
2020-05-17,42
2020-05-24,55
2020-05-31,46
2020-06-07,50
2020-06-14,45
2020-06-21,47
2020-06-28,66
2020-07-05,49
2020-07-12,56
2020-07-19,41
2020-07-26,48
2020-08-02,48
2020-08-09,45
2020-08-16,54
2020-08-23,76
2020-08-30,66
2020-09-06,100
2020-09-13,63
2020-09-20,51
2020-09-27,53
2020-10-04,40
2020-10-11,55
2020-10-18,49
2020-10-25,48
2020-11-01,36
2020-11-08,40
2020-11-15,41
2020-11-22,49
2020-11-29,48
2020-12-06,46
2020-12-13,34
2020-12-20,45
2020-12-27,49
