Kategorie: Alle Kategorien

Woche,suicide: (Ohio)
2020-01-05,35
2020-01-12,44
2020-01-19,49
2020-01-26,58
2020-02-02,58
2020-02-09,53
2020-02-16,60
2020-02-23,48
2020-03-01,51
2020-03-08,39
2020-03-15,35
2020-03-22,31
2020-03-29,38
2020-04-05,37
2020-04-12,34
2020-04-19,35
2020-04-26,58
2020-05-03,50
2020-05-10,32
2020-05-17,39
2020-05-24,41
2020-05-31,53
2020-06-07,32
2020-06-14,53
2020-06-21,42
2020-06-28,42
2020-07-05,29
2020-07-12,50
2020-07-19,54
2020-07-26,41
2020-08-02,49
2020-08-09,42
2020-08-16,38
2020-08-23,60
2020-08-30,81
2020-09-06,100
2020-09-13,45
2020-09-20,44
2020-09-27,39
2020-10-04,52
2020-10-11,41
2020-10-18,35
2020-10-25,41
2020-11-01,32
2020-11-08,43
2020-11-15,51
2020-11-22,40
2020-11-29,30
2020-12-06,38
2020-12-13,28
2020-12-20,37
2020-12-27,35
