Kategorie: Alle Kategorien

Woche,suicide: (Oklahoma)
2020-01-05,37
2020-01-12,84
2020-01-19,67
2020-01-26,63
2020-02-02,57
2020-02-09,40
2020-02-16,59
2020-02-23,53
2020-03-01,48
2020-03-08,42
2020-03-15,32
2020-03-22,41
2020-03-29,53
2020-04-05,45
2020-04-12,38
2020-04-19,51
2020-04-26,74
2020-05-03,40
2020-05-10,61
2020-05-17,67
2020-05-24,57
2020-05-31,34
2020-06-07,53
2020-06-14,54
2020-06-21,47
2020-06-28,64
2020-07-05,49
2020-07-12,77
2020-07-19,57
2020-07-26,49
2020-08-02,37
2020-08-09,59
2020-08-16,55
2020-08-23,76
2020-08-30,67
2020-09-06,87
2020-09-13,45
2020-09-20,59
2020-09-27,43
2020-10-04,46
2020-10-11,67
2020-10-18,100
2020-10-25,61
2020-11-01,52
2020-11-08,39
2020-11-15,45
2020-11-22,34
2020-11-29,64
2020-12-06,33
2020-12-13,55
2020-12-20,53
2020-12-27,27
