Kategorie: Alle Kategorien

Woche,suicide: (Oregon)
2020-01-05,61
2020-01-12,46
2020-01-19,49
2020-01-26,55
2020-02-02,57
2020-02-09,56
2020-02-16,45
2020-02-23,55
2020-03-01,43
2020-03-08,39
2020-03-15,43
2020-03-22,42
2020-03-29,37
2020-04-05,34
2020-04-12,48
2020-04-19,35
2020-04-26,61
2020-05-03,59
2020-05-10,52
2020-05-17,43
2020-05-24,51
2020-05-31,42
2020-06-07,42
2020-06-14,60
2020-06-21,61
2020-06-28,60
2020-07-05,43
2020-07-12,38
2020-07-19,51
2020-07-26,54
2020-08-02,46
2020-08-09,52
2020-08-16,36
2020-08-23,100
2020-08-30,45
2020-09-06,79
2020-09-13,36
2020-09-20,64
2020-09-27,36
2020-10-04,40
2020-10-11,52
2020-10-18,41
2020-10-25,50
2020-11-01,40
2020-11-08,49
2020-11-15,37
2020-11-22,51
2020-11-29,53
2020-12-06,53
2020-12-13,32
2020-12-20,40
2020-12-27,40
