Kategorie: Alle Kategorien

Woche,suicide: (Pennsylvania)
2020-01-05,46
2020-01-12,42
2020-01-19,50
2020-01-26,53
2020-02-02,52
2020-02-09,58
2020-02-16,61
2020-02-23,50
2020-03-01,45
2020-03-08,42
2020-03-15,38
2020-03-22,37
2020-03-29,49
2020-04-05,38
2020-04-12,47
2020-04-19,42
2020-04-26,60
2020-05-03,45
2020-05-10,46
2020-05-17,45
2020-05-24,55
2020-05-31,48
2020-06-07,44
2020-06-14,57
2020-06-21,39
2020-06-28,51
2020-07-05,40
2020-07-12,39
2020-07-19,37
2020-07-26,42
2020-08-02,47
2020-08-09,40
2020-08-16,48
2020-08-23,76
2020-08-30,53
2020-09-06,100
2020-09-13,47
2020-09-20,41
2020-09-27,44
2020-10-04,33
2020-10-11,43
2020-10-18,40
2020-10-25,54
2020-11-01,32
2020-11-08,38
2020-11-15,42
2020-11-22,38
2020-11-29,45
2020-12-06,45
2020-12-13,40
2020-12-20,41
2020-12-27,37
