Kategorie: Alle Kategorien

Woche,suicide: (Rhode Island)
2020-01-05,67
2020-01-12,18
2020-01-19,24
2020-01-26,29
2020-02-02,46
2020-02-09,12
2020-02-16,52
2020-02-23,100
2020-03-01,33
2020-03-08,34
2020-03-15,52
2020-03-22,26
2020-03-29,61
2020-04-05,32
2020-04-12,5
2020-04-19,54
2020-04-26,40
2020-05-03,45
2020-05-10,10
2020-05-17,20
2020-05-24,26
2020-05-31,20
2020-06-07,36
2020-06-14,60
2020-06-21,39
2020-06-28,28
2020-07-05,28
2020-07-12,23
2020-07-19,29
2020-07-26,34
2020-08-02,23
2020-08-09,41
2020-08-16,52
2020-08-23,73
2020-08-30,22
2020-09-06,72
2020-09-13,32
2020-09-20,32
2020-09-27,40
2020-10-04,47
2020-10-11,13
2020-10-18,26
2020-10-25,84
2020-11-01,37
2020-11-08,18
2020-11-15,47
2020-11-22,28
2020-11-29,60
2020-12-06,20
2020-12-13,29
2020-12-20,15
2020-12-27,21
