Kategorie: Alle Kategorien

Woche,suicide: (South Carolina)
2020-01-05,52
2020-01-12,78
2020-01-19,37
2020-01-26,58
2020-02-02,69
2020-02-09,42
2020-02-16,67
2020-02-23,50
2020-03-01,53
2020-03-08,53
2020-03-15,34
2020-03-22,24
2020-03-29,39
2020-04-05,38
2020-04-12,36
2020-04-19,37
2020-04-26,62
2020-05-03,37
2020-05-10,44
2020-05-17,56
2020-05-24,34
2020-05-31,39
2020-06-07,27
2020-06-14,35
2020-06-21,45
2020-06-28,56
2020-07-05,39
2020-07-12,55
2020-07-19,45
2020-07-26,33
2020-08-02,32
2020-08-09,35
2020-08-16,51
2020-08-23,54
2020-08-30,40
2020-09-06,100
2020-09-13,46
2020-09-20,55
2020-09-27,37
2020-10-04,49
2020-10-11,27
2020-10-18,40
2020-10-25,47
2020-11-01,33
2020-11-08,42
2020-11-15,58
2020-11-22,38
2020-11-29,44
2020-12-06,40
2020-12-13,31
2020-12-20,33
2020-12-27,32
