Kategorie: Alle Kategorien

Woche,suicide: (Süddakota)
2020-01-05,23
2020-01-12,55
2020-01-19,23
2020-01-26,78
2020-02-02,78
2020-02-09,90
2020-02-16,67
2020-02-23,64
2020-03-01,64
2020-03-08,32
2020-03-15,0
2020-03-22,86
2020-03-29,0
2020-04-05,39
2020-04-12,66
2020-04-19,67
2020-04-26,40
2020-05-03,87
2020-05-10,100
2020-05-17,32
2020-05-24,33
2020-05-31,53
2020-06-07,21
2020-06-14,55
2020-06-21,57
2020-06-28,91
2020-07-05,45
2020-07-12,56
2020-07-19,56
2020-07-26,46
2020-08-02,56
2020-08-09,33
2020-08-16,33
2020-08-23,10
2020-08-30,41
2020-09-06,41
2020-09-13,60
2020-09-20,31
2020-09-27,33
2020-10-04,80
2020-10-11,49
2020-10-18,12
2020-10-25,49
2020-11-01,40
2020-11-08,23
2020-11-15,24
2020-11-22,49
2020-11-29,12
2020-12-06,72
2020-12-13,61
2020-12-20,13
2020-12-27,36
