Kategorie: Alle Kategorien

Woche,suicide: (Tennessee)
2020-01-05,29
2020-01-12,40
2020-01-19,47
2020-01-26,37
2020-02-02,47
2020-02-09,48
2020-02-16,41
2020-02-23,43
2020-03-01,32
2020-03-08,48
2020-03-15,26
2020-03-22,39
2020-03-29,44
2020-04-05,39
2020-04-12,41
2020-04-19,38
2020-04-26,51
2020-05-03,30
2020-05-10,31
2020-05-17,31
2020-05-24,33
2020-05-31,48
2020-06-07,37
2020-06-14,36
2020-06-21,27
2020-06-28,48
2020-07-05,41
2020-07-12,36
2020-07-19,47
2020-07-26,48
2020-08-02,43
2020-08-09,30
2020-08-16,33
2020-08-23,66
2020-08-30,48
2020-09-06,100
2020-09-13,39
2020-09-20,37
2020-09-27,29
2020-10-04,36
2020-10-11,43
2020-10-18,36
2020-10-25,34
2020-11-01,36
2020-11-08,32
2020-11-15,39
2020-11-22,35
2020-11-29,36
2020-12-06,41
2020-12-13,33
2020-12-20,28
2020-12-27,40
