Kategorie: Alle Kategorien

Woche,suicide: (Texas)
2020-01-05,45
2020-01-12,48
2020-01-19,48
2020-01-26,48
2020-02-02,55
2020-02-09,81
2020-02-16,59
2020-02-23,57
2020-03-01,53
2020-03-08,45
2020-03-15,34
2020-03-22,40
2020-03-29,51
2020-04-05,45
2020-04-12,38
2020-04-19,40
2020-04-26,60
2020-05-03,46
2020-05-10,50
2020-05-17,40
2020-05-24,51
2020-05-31,52
2020-06-07,51
2020-06-14,53
2020-06-21,56
2020-06-28,48
2020-07-05,49
2020-07-12,55
2020-07-19,49
2020-07-26,41
2020-08-02,49
2020-08-09,40
2020-08-16,45
2020-08-23,64
2020-08-30,47
2020-09-06,100
2020-09-13,49
2020-09-20,44
2020-09-27,45
2020-10-04,40
2020-10-11,39
2020-10-18,44
2020-10-25,44
2020-11-01,38
2020-11-08,39
2020-11-15,35
2020-11-22,33
2020-11-29,42
2020-12-06,40
2020-12-13,36
2020-12-20,39
2020-12-27,37
