Kategorie: Alle Kategorien

Woche,suicide: (Utah)
2020-01-05,67
2020-01-12,91
2020-01-19,83
2020-01-26,100
2020-02-02,58
2020-02-09,73
2020-02-16,72
2020-02-23,82
2020-03-01,70
2020-03-08,72
2020-03-15,52
2020-03-22,52
2020-03-29,76
2020-04-05,71
2020-04-12,49
2020-04-19,67
2020-04-26,58
2020-05-03,75
2020-05-10,44
2020-05-17,51
2020-05-24,74
2020-05-31,82
2020-06-07,38
2020-06-14,68
2020-06-21,50
2020-06-28,70
2020-07-05,91
2020-07-12,47
2020-07-19,62
2020-07-26,55
2020-08-02,57
2020-08-09,50
2020-08-16,44
2020-08-23,76
2020-08-30,61
2020-09-06,95
2020-09-13,78
2020-09-20,56
2020-09-27,57
2020-10-04,48
2020-10-11,73
2020-10-18,62
2020-10-25,67
2020-11-01,59
2020-11-08,57
2020-11-15,72
2020-11-22,68
2020-11-29,66
2020-12-06,48
2020-12-13,55
2020-12-20,70
2020-12-27,40
