Kategorie: Alle Kategorien

Woche,suicide: (Virginia)
2020-01-05,63
2020-01-12,68
2020-01-19,47
2020-01-26,75
2020-02-02,60
2020-02-09,73
2020-02-16,75
2020-02-23,52
2020-03-01,59
2020-03-08,72
2020-03-15,51
2020-03-22,48
2020-03-29,65
2020-04-05,57
2020-04-12,54
2020-04-19,41
2020-04-26,84
2020-05-03,69
2020-05-10,62
2020-05-17,58
2020-05-24,55
2020-05-31,67
2020-06-07,52
2020-06-14,66
2020-06-21,59
2020-06-28,71
2020-07-05,51
2020-07-12,52
2020-07-19,59
2020-07-26,49
2020-08-02,68
2020-08-09,62
2020-08-16,67
2020-08-23,92
2020-08-30,71
2020-09-06,100
2020-09-13,78
2020-09-20,61
2020-09-27,74
2020-10-04,51
2020-10-11,61
2020-10-18,51
2020-10-25,64
2020-11-01,36
2020-11-08,46
2020-11-15,55
2020-11-22,69
2020-11-29,66
2020-12-06,52
2020-12-13,60
2020-12-20,43
2020-12-27,55
