Kategorie: Alle Kategorien

Woche,suicide: (Wisconsin)
2020-01-05,66
2020-01-12,52
2020-01-19,54
2020-01-26,62
2020-02-02,53
2020-02-09,42
2020-02-16,51
2020-02-23,59
2020-03-01,48
2020-03-08,54
2020-03-15,33
2020-03-22,50
2020-03-29,50
2020-04-05,44
2020-04-12,55
2020-04-19,49
2020-04-26,62
2020-05-03,49
2020-05-10,51
2020-05-17,34
2020-05-24,36
2020-05-31,67
2020-06-07,56
2020-06-14,35
2020-06-21,56
2020-06-28,42
2020-07-05,59
2020-07-12,57
2020-07-19,51
2020-07-26,41
2020-08-02,44
2020-08-09,49
2020-08-16,44
2020-08-23,98
2020-08-30,55
2020-09-06,100
2020-09-13,59
2020-09-20,50
2020-09-27,37
2020-10-04,27
2020-10-11,46
2020-10-18,55
2020-10-25,42
2020-11-01,33
2020-11-08,48
2020-11-15,42
2020-11-22,42
2020-11-29,46
2020-12-06,47
2020-12-13,38
2020-12-20,35
2020-12-27,38
