Kategorie: Alle Kategorien

Woche,suicide: (Wyoming)
2020-01-05,11
2020-01-12,21
2020-01-19,77
2020-01-26,53
2020-02-02,51
2020-02-09,53
2020-02-16,62
2020-02-23,100
2020-03-01,40
2020-03-08,29
2020-03-15,10
2020-03-22,45
2020-03-29,53
2020-04-05,18
2020-04-12,42
2020-04-19,54
2020-04-26,18
2020-05-03,71
2020-05-10,28
2020-05-17,39
2020-05-24,41
2020-05-31,29
2020-06-07,29
2020-06-14,20
2020-06-21,50
2020-06-28,30
2020-07-05,0
2020-07-12,20
2020-07-19,20
2020-07-26,50
2020-08-02,0
2020-08-09,60
2020-08-16,29
2020-08-23,39
2020-08-30,69
2020-09-06,97
2020-09-13,29
2020-09-20,58
2020-09-27,41
2020-10-04,32
2020-10-11,22
2020-10-18,11
2020-10-25,22
2020-11-01,9
2020-11-08,11
2020-11-15,23
2020-11-22,12
2020-11-29,56
2020-12-06,0
2020-12-13,34
2020-12-20,35
2020-12-27,33
