Kategorie: Alle Kategorien

Woche,workout: (Colorado)
2020-01-05,77
2020-01-12,68
2020-01-19,55
2020-01-26,62
2020-02-02,55
2020-02-09,61
2020-02-16,53
2020-02-23,60
2020-03-01,65
2020-03-08,42
2020-03-15,72
2020-03-22,100
2020-03-29,88
2020-04-05,79
2020-04-12,84
2020-04-19,69
2020-04-26,80
2020-05-03,74
2020-05-10,71
2020-05-17,67
2020-05-24,74
2020-05-31,52
2020-06-07,64
2020-06-14,71
2020-06-21,55
2020-06-28,60
2020-07-05,65
2020-07-12,54
2020-07-19,62
2020-07-26,61
2020-08-02,57
2020-08-09,48
2020-08-16,64
2020-08-23,53
2020-08-30,52
2020-09-06,54
2020-09-13,57
2020-09-20,58
2020-09-27,55
2020-10-04,52
2020-10-11,53
2020-10-18,48
2020-10-25,53
2020-11-01,48
2020-11-08,48
2020-11-15,53
2020-11-22,52
2020-11-29,60
2020-12-06,51
2020-12-13,56
2020-12-20,43
2020-12-27,74
