Kategorie: Alle Kategorien

Woche,workout: (Connecticut)
2020-01-05,59
2020-01-12,75
2020-01-19,75
2020-01-26,62
2020-02-02,50
2020-02-09,58
2020-02-16,64
2020-02-23,48
2020-03-01,61
2020-03-08,57
2020-03-15,81
2020-03-22,98
2020-03-29,89
2020-04-05,91
2020-04-12,100
2020-04-19,88
2020-04-26,92
2020-05-03,74
2020-05-10,86
2020-05-17,83
2020-05-24,76
2020-05-31,60
2020-06-07,86
2020-06-14,67
2020-06-21,93
2020-06-28,79
2020-07-05,82
2020-07-12,88
2020-07-19,67
2020-07-26,76
2020-08-02,48
2020-08-09,68
2020-08-16,64
2020-08-23,46
2020-08-30,62
2020-09-06,53
2020-09-13,56
2020-09-20,51
2020-09-27,50
2020-10-04,46
2020-10-11,51
2020-10-18,56
2020-10-25,62
2020-11-01,56
2020-11-08,69
2020-11-15,66
2020-11-22,64
2020-11-29,61
2020-12-06,62
2020-12-13,66
2020-12-20,60
2020-12-27,94
